image name,x0,y0,r
img0.png,60,80,11
img1.png,49,59,6
img2.png,48,59,8
img3.png,13,76,12
img4.png,7,13,5
img5.png,27,76,14
img6.png,85,85,10
img7.png,48,66,8
img8.png,43,80,7
img9.png,53,14,7
img10.png,33,86,11
img11.png,54,76,13
img12.png,28,29,8
img13.png,69,41,12
img14.png,39,22,12
img15.png,70,37,10
img16.png,62,62,14
img17.png,40,12,6
img18.png,68,17,10
img19.png,61,29,6
img20.png,55,63,5
img21.png,72,64,14
img22.png,70,11,7
img23.png,52,7,5
img24.png,71,31,10
img25.png,78,12,12
img26.png,63,21,14
img27.png,18,15,11
img28.png,7,46,7
img29.png,51,67,7
img30.png,93,16,6
img31.png,10,66,11
img32.png,45,37,12
img33.png,41,31,8
img34.png,33,34,10
img35.png,40,20,12
img36.png,77,68,7
img37.png,56,25,14
img38.png,30,57,12
img39.png,25,61,7
img40.png,37,69,11
img41.png,47,61,14
img42.png,25,64,14
img43.png,65,91,8
img44.png,12,53,7
img45.png,14,89,10
img46.png,76,76,7
img47.png,55,38,12
img48.png,83,9,9
img49.png,59,61,13
img50.png,11,16,10
img51.png,26,88,8
img52.png,92,30,5
img53.png,17,82,11
img54.png,45,23,9
img55.png,68,79,9
img56.png,17,64,12
img57.png,10,79,5
img58.png,21,13,12
img59.png,41,63,7
img60.png,69,36,13
img61.png,19,52,10
img62.png,88,19,11
img63.png,62,84,7
img64.png,14,68,9
img65.png,63,51,12
img66.png,48,85,10
img67.png,39,11,7
img68.png,53,54,11
img69.png,28,45,9
img70.png,28,39,7
img71.png,74,74,6
img72.png,29,65,14
img73.png,48,79,10
img74.png,58,78,8
img75.png,64,46,14
img76.png,28,56,14
img77.png,71,63,13
img78.png,60,62,14
img79.png,59,80,14
img80.png,13,28,9
img81.png,87,34,7
img82.png,54,82,12
img83.png,84,88,8
img84.png,26,73,9
img85.png,58,88,9
img86.png,82,65,13
img87.png,38,40,9
img88.png,53,18,12
img89.png,46,51,11
img90.png,34,35,12
img91.png,81,60,10
img92.png,24,38,13
img93.png,74,43,9
img94.png,51,51,10
img95.png,59,52,9
img96.png,79,87,11
img97.png,79,86,12
img98.png,12,81,8
img99.png,19,9,10
img100.png,68,67,12
img101.png,76,24,12
img102.png,80,28,12
img103.png,48,78,11
img104.png,68,9,5
img105.png,46,90,7
img106.png,66,43,12
img107.png,9,21,6
img108.png,56,12,5
img109.png,10,48,11
img110.png,11,85,10
img111.png,55,53,12
img112.png,46,45,5
img113.png,7,63,6
img114.png,42,50,11
img115.png,72,52,9
img116.png,84,35,7
img117.png,10,23,7
img118.png,88,72,9
img119.png,59,26,10
img120.png,67,42,5
img121.png,25,40,10
img122.png,15,92,5
img123.png,78,51,5
img124.png,24,28,12
img125.png,40,54,9
img126.png,81,85,6
img127.png,19,7,7
img128.png,17,53,13
img129.png,83,83,8
img130.png,38,13,6
img131.png,33,49,12
img132.png,23,54,14
img133.png,90,40,9
img134.png,16,28,7
img135.png,49,57,11
img136.png,40,61,14
img137.png,80,21,14
img138.png,29,78,12
img139.png,73,25,5
img140.png,23,21,12
img141.png,29,46,10
img142.png,35,76,13
img143.png,62,42,12
img144.png,77,38,5
img145.png,26,76,8
img146.png,21,33,9
img147.png,62,26,5
img148.png,40,82,14
img149.png,84,68,9
img150.png,84,84,6
img151.png,33,41,6
img152.png,14,86,10
img153.png,89,9,9
img154.png,63,52,8
img155.png,8,80,5
img156.png,71,85,6
img157.png,89,79,7
img158.png,49,25,6
img159.png,70,18,11
img160.png,9,21,10
img161.png,65,79,7
img162.png,8,88,6
img163.png,48,71,9
img164.png,73,41,11
img165.png,83,50,12
img166.png,22,41,5
img167.png,37,13,11
img168.png,81,55,5
img169.png,15,65,9
img170.png,13,65,12
img171.png,73,46,6
img172.png,16,59,7
img173.png,91,56,5
img174.png,68,29,14
img175.png,53,52,12
img176.png,68,13,7
img177.png,53,14,6
img178.png,32,28,12
img179.png,80,20,9
img180.png,67,75,10
img181.png,58,64,6
img182.png,82,21,13
img183.png,42,61,8
img184.png,25,42,8
img185.png,34,13,9
img186.png,42,24,14
img187.png,85,42,13
img188.png,19,48,5
img189.png,34,73,13
img190.png,60,36,12
img191.png,56,87,11
img192.png,17,41,11
img193.png,54,81,13
img194.png,10,20,8
img195.png,22,11,12
img196.png,83,10,8
img197.png,13,17,7
img198.png,85,29,12
img199.png,80,33,14
img200.png,54,79,6
img201.png,13,84,13
img202.png,88,18,6
img203.png,27,30,13
img204.png,60,58,14
img205.png,55,45,12
img206.png,83,82,11
img207.png,62,87,12
img208.png,36,48,8
img209.png,30,28,11
img210.png,39,60,9
img211.png,27,63,11
img212.png,18,58,11
img213.png,53,48,13
img214.png,73,47,7
img215.png,14,25,5
img216.png,27,64,8
img217.png,68,68,14
img218.png,45,14,5
img219.png,23,26,13
img220.png,6,11,6
img221.png,14,55,14
img222.png,59,73,14
img223.png,21,55,14
img224.png,74,29,13
img225.png,68,52,5
img226.png,78,80,10
img227.png,37,13,10
img228.png,74,50,12
img229.png,34,81,14
img230.png,40,81,7
img231.png,53,19,13
img232.png,34,51,9
img233.png,66,77,14
img234.png,16,23,14
img235.png,26,78,14
img236.png,86,75,7
img237.png,61,38,13
img238.png,54,54,12
img239.png,84,14,7
img240.png,44,64,5
img241.png,12,55,11
img242.png,87,13,11
img243.png,86,36,13
img244.png,47,78,10
img245.png,74,56,13
img246.png,63,25,14
img247.png,21,64,11
img248.png,25,56,10
img249.png,21,22,12
img250.png,84,89,5
img251.png,24,83,8
img252.png,11,69,10
img253.png,60,88,7
img254.png,19,23,8
img255.png,74,26,14
img256.png,36,37,5
img257.png,49,49,9
img258.png,14,27,11
img259.png,12,88,7
img260.png,25,86,7
img261.png,79,18,12
img262.png,56,16,7
img263.png,53,82,6
img264.png,49,79,10
img265.png,50,78,10
img266.png,74,70,11
img267.png,40,71,6
img268.png,65,32,10
img269.png,10,77,7
img270.png,31,43,8
img271.png,66,81,8
img272.png,38,23,14
img273.png,62,79,9
img274.png,16,39,7
img275.png,53,25,14
img276.png,63,42,12
img277.png,84,43,9
img278.png,49,29,11
img279.png,26,39,7
img280.png,44,93,6
img281.png,33,9,9
img282.png,45,79,9
img283.png,65,28,11
img284.png,30,25,12
img285.png,38,31,13
img286.png,57,48,14
img287.png,26,30,6
img288.png,58,84,11
img289.png,40,75,13
img290.png,32,42,14
img291.png,42,53,5
img292.png,79,25,6
img293.png,31,48,5
img294.png,52,77,10
img295.png,61,23,13
img296.png,56,45,6
img297.png,60,65,7
img298.png,50,43,6
img299.png,83,52,14
img300.png,40,47,14
img301.png,26,59,8
img302.png,26,44,8
